market_id,app_id,app,downloads,price,average_score,in_app_purchases,group,nest,market_share,num_apps_category
United States 2019,com.rockstargames.gtalcs,GTA: Liberty City Stories,256680,8.334021236248125,4.3000002,FALSE,GAME_ADVENTURE,GAME1,0.0010208359018616694,37
United States 2019,com.candyrufusgames.survivalcraft2,Survivalcraft 2,125280,4.488325902064241,4.4000001,FALSE,GAME_ADVENTURE,GAME1,4.982480979633393e-4,37
United States 2019,com.wb.goog.legojurassicworld,LEGOÂ® Jurassic Worldâ¢,303860,5.939990873129237,4.1999998,FALSE,GAME_ADVENTURE,GAME1,0.0012084743538245553,37
United States 2019,air.com.noodlecake.luminocity,Lumino City,100000,5.079168423315399,4.8000002,FALSE,GAME_ADVENTURE,GAME1,3.977076133168417e-4,37
United States 2019,com.terribletoybox.thimbleweedparkandroid,Thimbleweed Park,46420,10.968940692736508,4.6999998,FALSE,GAME_ADVENTURE,GAME1,1.8461587410167793e-4,37
United States 2019,com.kleientertainment.doNotStarvePocket,Don't Starve: Pocket Edition,524220,6.18782470032399,4.5,FALSE,GAME_ADVENTURE,GAME1,0.0020848628505295477,37
United States 2019,com.ngmoco.pocketgod,Pocket Godâ¢,606940,1.4258243464441283,3.5,FALSE,GAME_ARCADE,GAME1,0.0024138465882652393,26
United States 2019,com.robtopx.geometryjump,Geometry Dash,5000000,3.354883930374685,4.5999999,FALSE,GAME_ARCADE,GAME1,0.019885380665842087,26
United States 2019,com.epsxe.ePSXe,ePSXe for Android,1000000,4.205011448064596,4.6999998,FALSE,GAME_ARCADE,GAME1,0.003977076133168418,26
United States 2019,com.rockstar.maxpayne,Max Payne Mobile,500000,3.8328272968705765,4,FALSE,GAME_ARCADE,GAME1,0.001988538066584209,26
United States 2019,com.nekki.vector.paid,Vector Full,731680,1.569610063736718,4.099999899999999,TRUE,GAME_ARCADE,GAME1,0.0029099470651166677,26
United States 2019,com.flukedude.impossiblegame,The Impossible Game,500000,1.4752234320169808,3.9000001,FALSE,GAME_ARCADE,GAME1,0.001988538066584209,26
United States 2019,com.snkplaymore.android007,THE KING OF FIGHTERS '98,315700,4.1336164946831175,4.5,FALSE,GAME_ARCADE,GAME1,0.0012555629352412694,26
United States 2019,com.sega.sonic4epi,Sonic 4â¢ Episode I,167400,3.067459624272597,4.099999899999999,FALSE,GAME_ARCADE,GAME1,6.65762544692393e-4,26
United States 2019,com.rockstargames.gtavc,Grand Theft Auto: Vice City,2770500,6.0223942406371,4.3000002,FALSE,GAME_ARCADE,GAME1,0.0110184894269431,26
United States 2019,com.fastemulator.gbc,My OldBoy! - GBC Emulator,113120,4.701984847284997,4.6999998,FALSE,GAME_ARCADE,GAME1,4.498868521840114e-4,26
United States 2019,com.mojang.minecraftpe,Minecraft,50000000,8.148303015733608,4.4000001,TRUE,GAME_ARCADE,GAME1,0.19885380665842087,26
United States 2019,com.snkplaymore.kof2012a,THE KING OF FIGHTERS-A 2012,100000,4.132394796696362,2.2,FALSE,GAME_ARCADE,GAME1,3.977076133168417e-4,26
United States 2019,com.halfbrick.fruitninja,Fruit Ninja Classic,1715500,2.0809680192809163,4.099999899999999,TRUE,GAME_ARCADE,GAME1,0.00682267410645042,26
United States 2019,com.sonicjump.sonicjump,Sonic Jump Pro,176540,3.653853515383439,3.7,TRUE,GAME_ARCADE,GAME1,7.021130205495524e-4,26
United States 2019,com.worms3.app,Worms 3,1361580,5.929402784213642,4.099999899999999,TRUE,GAME_ARCADE,GAME1,0.005415107321399454,26
United States 2019,com.dotemu.neogeo.mslug3,METAL SLUG 3,296040,4.046121745383344,3.8,FALSE,GAME_ARCADE,GAME1,0.0011773736184631782,26
United States 2019,com.snkplaymore.android001,THE KING OF FIGHTERS '97,292280,3.832686507072994,4.4000001,FALSE,GAME_ARCADE,GAME1,0.001162419812202465,26
United States 2019,com.exozet.android.catan,Catan Classic,500000,5.332729155256462,3.0999999,TRUE,GAME_BOARD,GAME2,0.001988538066584209,21
